@RELATION 05-TRAINING-SUBCOMPONENTS

@ATTRIBUTE parenttype {,A,BUTTON,DIV,LI,UL,discrete}
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE textnodecount NUMERIC
@ATTRIBUTE avchildwidth NUMERIC
@ATTRIBUTE avchildheight NUMERIC
@ATTRIBUTE sdchildwidth NUMERIC
@ATTRIBUTE sdchildheight NUMERIC
@ATTRIBUTE avchildx NUMERIC
@ATTRIBUTE avchildy NUMERIC
@ATTRIBUTE sdchildx NUMERIC
@ATTRIBUTE sdchildy NUMERIC
@ATTRIBUTE subelement {N,Y}

@DATA
UL,2.0,713.0,468.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,468.0,0.0,0.0,Y
LI,1.0,713.0,468.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,494.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,494.0,0.0,0.0,Y
LI,1.0,713.0,494.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,16.0,879.0,194.0,204.0,222.0,8.0,164.0,42.0,0.0,47.62,899.0,291.0,0.0,50.82,N
DIV,14.0,899.0,228.0,164.0,168.0,7.0,164.0,24.0,0.0,0.0,899.0,300.0,0.0,48.0,Y
UL,1.0,899.0,228.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,252.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,276.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,300.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,324.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,348.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,372.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,22.0,655.0,193.0,195.0,192.0,6.0,152.63,61.0,15.88,67.97,676.19,254.06,7.94,50.64,N
