@RELATION 05-TRAINING-WIDGET

@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE domheight NUMERIC
@ATTRIBUTE domlevelmoreelements NUMERIC
@ATTRIBUTE domlevelelements NUMERIC
@ATTRIBUTE domwidth NUMERIC
@ATTRIBUTE mousex NUMERIC
@ATTRIBUTE mousey NUMERIC
@ATTRIBUTE numwords NUMERIC
@ATTRIBUTE numwordschild NUMERIC
@ATTRIBUTE numlinks NUMERIC
@ATTRIBUTE widget {Other,Dropdown}

@DATA
690.0,1059.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
385.0,1059.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
80.0,1059.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1351.0,112.0,0.0,0.0,0.0,Other
1150.0,1006.0,120.0,35.0,1.0,1.0,1.0,1.0,1.0,1351.0,112.0,0.0,0.0,0.0,Other
1150.0,936.0,120.0,35.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
1070.0,1027.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
740.0,1027.0,300.0,300.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
80.0,1027.0,300.0,200.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1351.0,112.0,0.0,0.0,0.0,Other
1150.0,798.0,120.0,35.0,1.0,1.0,1.0,1.0,1.0,1351.0,112.0,0.0,0.0,0.0,Other
1070.0,1171.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
410.0,1209.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
80.0,1209.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
1150.0,798.0,120.0,35.0,0.0,0.0,1.0,1.0,0.0,1338.0,2230.0,0.0,0.0,0.0,Other
0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1251.0,2321.0,0.0,0.0,0.0,Other
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1251.0,2321.0,0.0,0.0,0.0,Other
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1251.0,2321.0,0.0,0.0,0.0,Other
740.0,1222.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1248.0,2327.0,0.0,0.0,0.0,Other
80.0,1243.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1248.0,2327.0,0.0,0.0,0.0,Other
51.0,241.0,13.0,30.0,2.0,2.0,1.0,1.0,1.0,1351.0,2219.0,1.0,1.0,0.0,Other
1070.0,893.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
740.0,1070.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
740.0,886.0,142.0,100.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
410.0,806.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
80.0,1069.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
80.0,907.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1351.0,2219.0,0.0,0.0,0.0,Other
80.0,174.0,550.0,56.0,131.0,8.0,5.0,43.0,46.0,85.0,2489.0,81.0,1.8,45.0,Dropdown
80.0,1372.0,64.0,56.0,1.0,1.0,1.0,1.0,1.0,85.0,2489.0,0.0,0.0,1.0,Other
80.0,2516.0,64.0,56.0,1.0,1.0,1.0,1.0,1.0,85.0,2489.0,0.0,0.0,1.0,Other
80.0,4033.0,64.0,56.0,1.0,1.0,1.0,1.0,1.0,85.0,2489.0,0.0,0.0,1.0,Other
80.0,4886.0,64.0,56.0,1.0,1.0,1.0,1.0,1.0,85.0,2489.0,0.0,0.0,1.0,Other
80.0,174.0,64.0,56.0,0.0,0.0,1.0,1.0,0.0,85.0,2489.0,0.0,0.0,0.0,Other
80.0,229.0,541.0,396.0,129.0,7.0,4.0,43.0,45.0,85.0,2489.0,81.0,1.8,44.0,Dropdown
1070.0,1088.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
1070.0,805.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
898.0,1133.0,142.0,200.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
740.0,1133.0,142.0,200.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
740.0,805.0,300.0,200.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
410.0,1126.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,1051.0,300.0,100.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,805.0,300.0,200.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
51.0,273.0,13.0,30.0,2.0,2.0,1.0,1.0,1.0,1352.0,2509.0,1.0,1.0,0.0,Other
740.0,1166.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,1149.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,989.0,142.0,100.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
975.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
869.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
